"yPos","xPos","race","lat","lon"
759,883,"Black",38.92215,-77.00939
773,1281,"Black",38.9208,-76.95965
1197,1532,"Black",38.87949,-76.92821
822,940,"Black",38.91595,-77.00227
1710,957,"Black",38.82963,-77.00022
422,764,"Black",38.95487,-77.0243
446,856,"Black",38.95261,-77.01275
280,722,"Black",38.96874,-77.0296
798,813,"Black",38.9183,-77.01814
936,1054,"Black",38.9048556580893,-76.988030392975
1558,1070,"Black",38.84443,-76.98596
1602,1050,"Black",38.84008,-76.98854
1691,991,"Black",38.83142,-76.9959
68,679,"Black",38.98938,-77.03492
1008,1163,"Black",38.89791,-76.97441
1725,885,"Black",38.82813,-77.00918
1161,1283,"Black",38.88305,-76.95937
536,741,"Black",38.9437988270598,-77.0272149337706
1403,977,"Black",38.85947,-76.9977
579,366,"Black",38.9396,-77.07421
545,800,"Black",38.94289,-77.01976
1250,855,"Black",38.87433,-77.0129
1223,837,"Black",38.87698,-77.01521
1508,1130,"Black",38.84921,-76.97849
648,1016,"Black",38.9329288769298,-76.9928213895295
1681,1024,"Black",38.83246,-76.99183
491,680,"Black",38.94815,-77.03491
492,991,"Black",38.94808,-76.99589
1242,1259,"Black",38.87517,-76.96238
939,1074,"Black",38.9046,-76.98555
850,1075,"Black",38.91323,-76.98536
463,736,"Black",38.95096,-77.02781
324,902,"Black",38.96443,-77.00699
601,775,"Black",38.93749,-77.02293
833,876,"Black",38.91496,-77.01032
1289,1148,"Black",38.87051,-76.97627
1824,877,"Black",38.81851,-77.01013
1675,909,"Black",38.83297,-77.00619
1260,858,"Black",38.8734,-77.01252
1725,998,"Black",38.82815,-76.99508
716,709,"Black",38.9262832504298,-77.0312167654172
1352,1258,"Black",38.86438,-76.96251
1306,1234,"Black",38.86886,-76.96547
417,671,"Black",38.9553685545156,-77.0359838772141
1044,1610,"Black",38.89439,-76.91845
1210,1431,"Black",38.8782,-76.94086
1145,1168,"Black",38.88459,-76.97368
922,1352,"Black",38.9063,-76.95069
265,688,"Black",38.97015,-77.03388
